24.01.2023;14:00;647,014;19,639;18,492;98,02
24.01.2023;16:30;1254,19;55,275;17,886;215,728
24.01.2023;22:00;404,69;47,004;8,508;35,052
25.01.2023;0:40;82,72;0,458;0,299;24,305
25.01.2023;10:30;710,071;26,75;22,823;97,236
25.01.2023;13:30;102,44;0,512;0,335;22,478
25.01.2023;17:00;1253,95;49,585;17,613;218,893
25.01.2023;21:35;452,98;15,292;13,558;63,382
26.01.2023;0:55;94,64;0,473;0,309;20,766
26.01.2023;10:45;476,164;24,179;20,831;47,21
26.01.2023;15:00;269,05;11,58;15,18;21,85
26.01.2023;19:10;406,8;14,4;0;58,68
26.01.2023;19:25;905,7;34,727;13,309;162,583
27.01.2023;10:20;512,29;17,214;14,234;76,772
27.01.2023;12:20;391,83;7,235;15,648;332,479
27.01.2023;20:35;111,8;0,559;0,3655;24,532
27.01.2023;21:25;852,505;45,813;10,097;139,829
27.01.2023;21:35;335,48;45;4,5;38,449
28.01.2023;10:40;422,75;17,61;12,375;59,36
28.01.2023;13:30;98,8;0,494;0,323;21,679
28.01.2023;15:45;1039,835;50,488;14,85;175,85
28.01.2023;19:40;477,458;18,607;20,347;54,901
28.01.2023;21:45;247,5;0;0;27
28.01.2023;22:25;116;5,8;5,7;10,2
29.01.2023;1:25;378,08;21,272;28,064;13,184
29.01.2023;12:00;348,61;45;4,5;43,649
29.01.2023;12:10;150,89;2,765;8,69;15,247
29.01.2023;15:25;104;0,52;0,34;22,82
29.01.2023;18:55;1017,505;46,862;21,189;158,164
29.01.2023;20:40;25,5;1,4;1,25;2,1
29.01.2023;23:10;632,65;32,668;40,231;37,83
30.01.2023;11:10;385,375;15,51;10,725;54,906
30.01.2023;13:20;135;3,75;3,125;23
30.01.2023;13:50;135;3,75;3,125;23
30.01.2023;17:25;875,625;38,932;15,5;143,358
30.01.2023;17:35;379,31;45;4,5;49,849
30.01.2023;22:40;293,67;8,645;14,67;31,511
31.01.2023;11:25;394,485;16,56;11,35;54,462
31.01.2023;15:30;620,32;31,156;38,037;40,863
31.01.2023;15:40;198,64;3,64;11,44;20,072
31.01.2023;20:15;425,79;45;4,5;57,929
31.01.2023;23:05;247,5;0;0;27
01.02.2023;0:35;78;0,39;0,255;17,115
01.02.2023;11:45;386,028;16,2;11,1;53,316
01.02.2023;17:10;906,5;27,985;42,382;101,369
01.02.2023;17:30;387,1;34,38;3,438;63,862
01.02.2023;20:10;124,8;0,624;0,408;27,384
01.02.2023;23:45;456,449;27,532;30,712;15,349
02.02.2023;12:55;385,866;16,29;11,225;52,875
02.02.2023;15:10;781,02;24,5424;35,466;99,3872
02.02.2023;17:30;429,51;41,4;4,14;61,989
02.02.2023;19:10;97,96;0,4888;0,3196;21,4508
02.02.2023;21:20;657,57;32,68;31,89;58,51
02.02.2023;21:30;478,4;4,6;24,84;57,96
03.02.2023;7:50;451,053;19,53;13,775;59,697
03.02.2023;11:40;897,44;30,0616;40,244;101,7333
04.02.2023;1:45;484,56;14,28;32,31;32,67
04.02.2023;1:55;223,74;6,6;14,355;16,335
04.02.2023;2:05;395,52;8,544;14,784;57,12
04.02.2023;9:10;495,58;15,725;20,91;61,968
04.02.2023;13:25;247,5;0;0;27
04.02.2023;18:35;333,3;23,1;8,58;41,25
04.02.2023;22:45;1090,51;26,973;20,368;202,132
05.02.2023;10:40;619,23;25,115;35,255;50,235
05.02.2023;20:30;1009,26;38,49;35,71;117,6584
06.02.2023;0:55;161;2,1;11,13;13,02
06.02.2023;8:00;327,3;19,44;19,875;17,295
06.02.2023;8:05;654;18,9;24,6;89,7
06.02.2023;18:20;1039,3;32,1;67,3;76,3
07.02.2023;1:20;1445,9;28,945;86,545;137,67
07.02.2023;1:25;79,3;2,135;2,135;12,81
07.02.2023;1:40;151,65;3,91;5,8;21,1
07.02.2023;1:45;123,2;28,9;1,7;0
